,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
5322,9.8688,-16.707,-19.5599,-19.9603,-19.9471,-19.8479,0.3619,7.3778,-1.1959,11.847,0.1455,7.122,0.219,4.556,-11.0647
5323,9.4271,-19.0718,-19.9071,-20.2012,-20.3319,-20.4099,0.3202,7.6694,0.2713,11.8087,0.3137,2.991,0.406,2.173,-9.1558
5324,10.3188,-19.4775,-20.5735,-21.0197,-21.1705,-21.2982,0.4175,8.2046,0.2628,12.1774,-0.6557,4.584,0.107,2.915,-10.056
5325,10.0578,-17.1829,-18.8501,-19.4839,-19.8127,-19.9432,0.5745,7.2267,-0.3628,11.8602,0.1503,10.484,0.063,6.484,-10.4206
5326,8.8819,-17.0792,-18.0464,-18.461,-18.1998,-17.6357,0.4022,6.7683,-1.1112,11.5054,0.3858,4.562,0.136,2.741,-9.9931
5327,8.5354,-18.2899,-18.8162,-18.9807,-18.958,-18.9344,0.1633,7.3613,0.1403,11.6457,0.2141,1.604,0.587,0.819,-8.3951
5329,8.7754,-16.8999,-17.8266,-18.0698,-18.1091,-17.9678,0.2339,6.7942,-0.8445,11.4101,-0.3324,3.916,0.181,2.432,-9.6199
5330,10.4468,-18.6077,-19.9279,-20.558,-20.8736,-21.1313,0.5584,7.7845,-0.1114,12.1866,-0.623,8.683,0.207,5.719,-10.5582
5331,9.305,-17.4128,-18.5805,-19.0168,-19.0324,-19.1492,0.4258,6.8154,-0.6498,11.6273,-0.5831,7.021,0.055,4.339,-9.9549
5332,10.6511,-19.5443,-20.8418,-21.373,-21.5858,-21.6642,0.4802,7.8582,0.3021,12.4302,0.4764,9.981,0.204,6.021,-10.349
5333,9.1309,-16.8702,-18.0085,-18.4282,-18.6148,-18.7136,0.4438,7.9825,-0.7635,11.5319,-0.2978,1.492,0.0,0.889,-9.8944
5334,10.6466,-19.1849,-20.5352,-21.1008,-21.3691,-21.4219,0.5311,8.1139,-0.2669,12.298,-0.3019,7.433,0.083,4.69,-10.9135
5335,9.0604,-17.3526,-18.2529,-18.6508,-18.6719,-18.4613,0.3838,6.9195,-0.7825,11.558,-0.5767,4.706,0.035,2.879,-9.8429
5336,9.7277,-18.8662,-19.7701,-20.203,-20.3651,-20.539,0.4065,8.294,0.182,11.8776,0.1305,2.087,0.225,1.262,-9.5457
5337,10.6825,-19.2629,-20.7562,-21.3747,-21.6307,-21.8067,0.5664,8.2264,0.03,12.5819,0.6258,6.801,0.156,4.241,-10.6525
5338,10.1691,-18.807,-20.0117,-20.4519,-20.5981,-20.5901,0.3941,7.6125,-0.242,12.5819,0.5555,7.709,0.242,4.963,-10.4111
5339,9.3267,-19.6143,-20.1715,-20.378,-20.4092,-20.444,0.164,8.0,0.7324,11.7821,0.1955,1.853,0.454,1.023,-8.5943
5340,9.9008,-18.1432,-19.2335,-19.7216,-19.9294,-20.0414,0.4565,8.5527,-0.4241,11.7952,-0.2778,1.932,0.164,1.232,-10.3249
