X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
10.7429,-18.9911,-20.3218,-20.9163,-21.1937,-21.3292,0.5051,8.4642,0.929,12.2465,-0.4408,6.058,0.323,5.278,-9.8139
10.411,-18.996,-20.0182,-20.5379,-20.7529,-20.8244,0.4945,8.0457,0.0347,13.9168,1.0074,6.136,0.076,3.812,-10.3763
10.4747,-19.2228,-20.5372,-21.0492,-21.2609,-21.3433,0.4549,8.08,0.144,12.2319,-0.4464,6.467,0.175,4.307,-10.3307
10.4883,-19.0356,-20.2191,-20.7498,-21.0055,-21.2031,0.4859,8.6129,0.3608,12.191,-0.89,3.485,0.46,2.166,-10.1275
9.739,-18.4725,-19.4912,-19.8568,-19.8041,-19.9661,0.3442,7.3508,-0.257,11.7602,-0.1868,6.342,0.275,4.245,-9.996
9.469,-18.7638,-19.5017,-19.7745,-19.7254,-19.8901,0.2654,7.4706,0.0671,11.6887,-0.681,4.066,0.269,2.597,-9.4019
8.8603,-17.6106,-18.3482,-18.6269,-18.7068,-18.6956,0.2936,7.0608,-0.4566,11.4997,0.2863,3.197,0.0,1.905,-9.3169
9.0151,-16.9085,-17.8188,-18.2351,-18.4042,-18.4897,0.4235,7.8766,-0.8234,11.4997,0.0306,1.494,0.012,0.891,-9.8385
10.7056,-19.7128,-20.8924,-21.4236,-21.6827,-21.835,0.4936,8.5088,0.5195,13.906,0.9669,5.005,0.727,2.83,-10.1861
10.4701,-19.5279,-20.9064,-21.3037,-21.4203,-21.2677,0.3819,8.0934,-0.1221,12.1895,-0.0289,6.224,0.213,3.859,-10.5922
8.595,-16.6724,-17.4713,-17.8868,-17.748,-17.9841,0.4098,6.7074,-0.79,12.1895,0.348,3.498,0.006,2.089,-9.385
10.7167,-19.3114,-20.7234,-21.3336,-21.5747,-21.7451,0.5388,8.344,0.2823,12.4554,0.1214,6.238,0.191,4.107,-10.4344
8.6534,-14.1988,-17.3291,-17.7096,-17.7596,-17.6358,0.434,6.6001,-1.0838,11.409,-0.1452,4.25,0.065,2.648,-9.7372
10.1567,-17.605,-18.9932,-19.6793,-20.0197,-20.2775,0.6068,8.6304,0.092,11.9505,0.0394,2.313,0.446,1.337,-10.0647
9.1076,-17.6129,-17.8805,-18.327,-18.3434,-18.7846,0.4097,6.7979,-0.7183,11.5391,-0.2014,5.813,0.143,3.732,-9.8259
10.4979,-19.081,-20.4852,-21.0308,-21.2442,-21.3612,0.529,8.0501,0.1105,12.2739,-0.7062,6.713,0.029,4.069,-10.3874
9.6846,-17.0086,-18.2599,-18.789,-19.0136,-19.1312,0.5092,8.6113,-1.1368,11.6571,-0.4166,1.364,0.306,1.234,-10.8214
10.6969,-19.8402,-20.9838,-21.4896,-21.718,-21.6936,0.4656,8.3975,0.3099,14.403,1.0562,5.705,0.174,3.641,-10.387
10.4598,-19.1497,-20.5727,-21.076,-21.2316,-21.3596,0.4832,7.9898,-0.0965,14.403,0.791,6.887,0.061,4.262,-10.5563
10.7019,-19.7789,-20.8869,-21.423,-21.6677,-21.8238,0.51,8.5745,0.5164,14.0666,1.1165,4.638,0.553,2.911,-10.1855
10.6836,-19.4698,-20.901,-21.6866,-21.8349,-21.932,0.7225,8.4708,-1.2507,12.9903,-0.6807,5.288,0.559,6.103,-11.9343
